UID,patient,visit,reads,RIN,PF_BASES,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_USABLE_BASES,Kit
KITA_01,701,Start,90426153,9.3,13202218338,0.124113,0.1404,0.426811,0.267503,0.042178,0.548038,A
KITA_02,701,END,267377263,8.6,39037080398,0.066727,0.14286,0.443182,0.304106,0.043625,0.568415,A
KITA_03,704,Start,78570128,8,11471238688,0.1136,0.136457,0.224241,0.400091,0.126288,0.345773,A
KITA_04,704,END,307503559,7.8,44895519614,0.066262,0.146475,0.296329,0.434821,0.056686,0.428476,A
KITA_05,705,Start,82847263,8,12095700398,0.046465,0.170637,0.260277,0.456688,0.066409,0.398425,A
KITA_06,705,END,274141940,8.4,40024723240,0.034185,0.15796,0.263815,0.486168,0.05819,0.407882,A
KITA_07,752,Start,86984040,8,12699669840,0.096885,0.145732,0.305159,0.399002,0.054372,0.437879,A
KITA_08,752,END,146987550,6.9,6405043214,0.061152,0.152052,0.275189,0.458097,0.054158,0.417983,A
KITA_09,758,Start,98781408,7.7,14422085568,0.057829,0.135968,0.249369,0.449739,0.107625,0.372103,A
KITA_10,758,END,183720498,7.2,9001741252,0.070695,0.137955,0.332468,0.409688,0.049877,0.460133,A
KITA_11,767,Start,95301342,8.6,13913995932,0.082855,0.157906,0.305779,0.402825,0.051459,0.449126,A
KITA_12,767,END,176832969,8.6,8535705748,0.024019,0.13397,0.257238,0.487987,0.096987,0.382289,A
KITA_13,802,Start,94216875,8.8,13755663750,0.053242,0.172447,0.352249,0.369567,0.052917,0.51084,A
KITA_14,802,END,122639695,8.5,5294507646,0.017898,0.11767,0.223497,0.47827,0.162812,0.327027,A
KITA_15,804,Start,94190477,8.8,13751809642,0.076057,0.154813,0.474294,0.254569,0.040691,0.611765,A
KITA_16,804,END,138092311,8.9,6744588990,0.018688,0.188472,0.295906,0.42023,0.076857,0.474282,A
KITA_17,805,Start,88272172,8.4,12887737112,0.128706,0.151487,0.444632,0.241227,0.035217,0.580059,A
KITA_18,805,END,93348304,8.4,4026135566,0.028936,0.164864,0.353051,0.395534,0.057968,0.503675,A
KITA_19,807,Start,93705311,7.9,13680975406,0.096365,0.155332,0.310041,0.380517,0.058853,0.449209,A
KITA_20,807,END,140934687,8,6662763290,0.026627,0.151086,0.30405,0.463772,0.05473,0.44619,A
KITA_21,81,Start,103838020,9,15160350920,0.057211,0.177771,0.362372,0.350822,0.052354,0.522998,A
KITA_22,81,END,186390542,9,8120433860,0.021239,0.197007,0.418132,0.31559,0.048232,0.601512,A
KITA_23,818,Start,91906677,8,13418374842,0.053674,0.148422,0.284098,0.433395,0.081063,0.415391,A
KITA_24,818,END,211406526,7.3,30865352796,0.106576,0.138381,0.281654,0.388132,0.086586,0.402503,A
KITA_25,84,Start,98329398,8.3,14356092108,0.025184,0.171931,0.315238,0.434677,0.053225,0.464829,A
KITA_26,84,END,87081380,5.9,12713881480,0.078224,0.141602,0.336391,0.395039,0.049685,0.465797,A
KITA_27,85,Start,79969417,9.9,11675534882,0.03366,0.166369,0.347731,0.369662,0.082839,0.485309,A
KITA_28,85,END,104804453,9,15301450138,0.056549,0.158241,0.329984,0.408404,0.047338,0.475575,A
KITA_29,85,END,109382253,7.3,5055557768,0.057913,0.15307,0.325247,0.40941,0.055016,0.462943,A
KITA_30,854,Start,95691589,7.5,13970971994,0.090277,0.136323,0.294689,0.373884,0.105877,0.412528,A
KITA_31,854,END,102913980,7.6,4824971208,0.045039,0.128817,0.395951,0.344423,0.086329,0.507408,A
KITA_32,869,Start,88316892,7.5,12894266232,0.056498,0.161979,0.438403,0.302592,0.041142,0.531772,A
KITA_33,869,END,298924437,7.4,43642967802,0.075273,0.150712,0.315831,0.403564,0.055248,0.45049,A
KITA_34,901,Start,87096253,9.7,12716052938,0.061019,0.177255,0.383252,0.33051,0.048587,0.539322,A
KITA_35,901,END,273283752,8.6,39899427792,0.085906,0.164199,0.313623,0.385754,0.051085,0.45932,A
KITA_36,907,Start,90062698,9.7,13149153908,0.068307,0.154121,0.440653,0.293203,0.044333,0.564456,A
KITA_37,907,Start,94496304,6.9,13796460384,0.030936,0.145616,0.311959,0.457591,0.05423,0.43607,A
KITA_38,907,END,300056915,8.8,43808309590,0.058681,0.137186,0.31826,0.397646,0.088769,0.430285,A
KITA_39,907,END,276088018,7.9,40308850628,0.071526,0.136063,0.332397,0.410377,0.050227,0.453739,A
KITA_40,908,END,88971434,6.6,12989829364,0.067821,0.132521,0.290038,0.448387,0.061847,0.411946,A
KITA_41,914,Start,87931046,9.7,12837932716,0.027555,0.18948,0.337202,0.393996,0.052029,0.500677,A
KITA_42,914,END,102836527,9.5,15014132942,0.081221,0.157961,0.376134,0.339047,0.046376,0.519058,A
KITA_43,916,Start,98696462,8.9,14409683452,0.021373,0.118167,0.319251,0.466043,0.075406,0.41489,A
KITA_44,916,END,86379418,8.8,12611395028,0.075369,0.145461,0.281991,0.442479,0.055275,0.415566,A
KITA_45,917,END,104289319,8.4,15226240574,0.056511,0.151919,0.324757,0.415804,0.051566,0.46269,A
KITB_01,701,Start,50242210,9.3,3183894912,0.147022,0.112842,0.342582,0.33899,0.059328,0.440776,B
KITB_02,701,END,38000706,8.6,2851585520,0.118168,0.137849,0.227443,0.457454,0.059659,0.353561,B
KITB_03,704,Start,36685826,8,3079307190,0.043015,0.146335,0.23837,0.514372,0.058154,0.371995,B
KITB_04,704,END,35415382,7.8,3037146962,0.035539,0.089914,0.138022,0.528153,0.208552,0.215804,B
KITB_05,705,Start,21560394,8,1824486018,0.020688,0.191228,0.314899,0.402601,0.070765,0.485025,B
KITB_06,705,END,39592350,8.4,3024255524,0.085889,0.145343,0.297055,0.414853,0.057297,0.427842,B
KITB_07,752,Start,30401056,8,2302530936,0.062271,0.062846,0.178579,0.412464,0.284723,0.225948,B
KITB_08,752,END,36352920,6.9,3083561916,0.031774,0.118874,0.210873,0.533752,0.104889,0.317749,B
KITB_09,758,Start,31201314,7.7,2373577164,0.073816,0.14357,0.277122,0.435127,0.070868,0.404794,B
KITB_10,758,END,41124084,7.2,3247332810,0.064196,0.144054,0.279073,0.454409,0.058639,0.409998,B
KITB_11,767,Start,33157904,8.6,2799206718,0.050056,0.145452,0.235854,0.509752,0.059121,0.369835,B
KITB_12,767,END,30969380,8.6,2778447178,0.009615,0.11493,0.177697,0.519427,0.178419,0.279949,B
KITB_13,802,Start,59903330,8.8,4451614592,0.111156,0.142845,0.229534,0.449148,0.067855,0.36034,B
KITB_14,802,END,23568370,8.5,1918549742,0.074698,0.12535,0.211073,0.522847,0.066391,0.324905,B
KITB_15,804,Start,55572934,8.8,3627059884,0.177424,0.129004,0.279009,0.344218,0.071227,0.394871,B
KITB_16,804,END,39680122,8.9,2547407052,0.208171,0.105989,0.185094,0.419783,0.081919,0.282055,B
KITB_17,805,Start,27825610,8.4,2351666426,0.046779,0.092602,0.142422,0.510128,0.208354,0.22065,B
KITB_18,805,END,28982686,8.4,2400644154,0.063215,0.139692,0.202303,0.530936,0.064215,0.329577,B
KITB_19,807,Start,36647770,7.9,2922791732,0.066428,0.114408,0.219034,0.511667,0.088822,0.321618,B
KITB_20,807,END,33982128,8,2976324762,0.020593,0.071799,0.120126,0.50446,0.283176,0.177079,B
KITB_21,81,Start,54848592,9,4817450934,0.029506,0.134736,0.195976,0.57841,0.061531,0.319807,B
KITB_22,81,END,35347262,9,2872209922,0.052158,0.154796,0.256774,0.480409,0.056227,0.396879,B
KITB_23,818,Start,37903440,8,3271203756,0.01219,0.160736,0.299329,0.46245,0.065399,0.443428,B
KITB_24,818,END,42983328,7.3,3345521374,0.065001,0.135288,0.287945,0.453969,0.058187,0.409033,B
KITC_01,701,Start,56282330,9.3,3878461206,0.171416,0.139824,0.224294,0.385715,0.079537,0.351118,C
KITC_02,701,END,45113410,8.6,4009806050,0.008457,0.036286,0.069771,0.470338,0.415239,0.095604,C
KITC_03,704,Start,44597520,8,3296179844,0.095726,0.151872,0.289338,0.384336,0.079228,0.421224,C
KITC_04,704,END,68197068,7.8,4179945600,0.249917,0.116409,0.20032,0.338924,0.095611,0.303464,C
KITC_05,705,Start,48071322,8,3151583396,0.200712,0.12595,0.236723,0.310645,0.126949,0.343042,C
KITC_06,705,END,57828152,8.4,4010365792,0.039412,0.133106,0.237257,0.382687,0.207832,0.338606,C
KITC_07,752,Start,35941998,8,3001566480,0.03161,0.153758,0.22872,0.501113,0.085012,0.367286,C
KITC_08,752,END,51662332,6.9,3921447008,0.0998,0.186698,0.287786,0.33067,0.095538,0.4523,C
KITC_09,758,Start,37883422,7.7,3221122300,0.023552,0.164652,0.25909,0.479664,0.07321,0.407886,C
KITC_10,758,END,44189854,7.2,3474303646,0.044874,0.136399,0.302227,0.443771,0.073027,0.420218,C
KITC_11,767,Start,44653480,8.6,3646384820,0.059271,0.117525,0.192233,0.429644,0.20167,0.290119,C
KITC_12,767,END,29189636,8.6,2401793534,0.038175,0.141952,0.279375,0.465979,0.074772,0.402495,C
KITC_13,802,Start,30062886,8.8,2346152230,0.081198,0.154534,0.284506,0.400093,0.080144,0.414491,C
KITC_14,802,END,35695934,8.5,2291320340,0.229084,0.141692,0.273385,0.269513,0.087413,0.396243,C
KITC_15,804,Start,25421824,8.8,1697851814,0.189054,0.113057,0.242321,0.324961,0.131615,0.33418,C
KITC_16,804,END,53560976,8.9,3194170248,0.285936,0.11572,0.179172,0.324687,0.095825,0.282166,C
KITC_17,805,Start,69889510,8.4,3515235512,0.386714,0.097544,0.182967,0.203998,0.130599,0.270923,C
KITC_18,805,END,14536426,8.4,1180980274,0.06731,0.162609,0.272308,0.410977,0.087259,0.414057,C
KITC_19,807,Start,50949504,7.9,3799654340,0.051523,0.139827,0.19486,0.389732,0.224355,0.311072,C
KITC_20,807,END,43012228,8,3599534556,0.042994,0.162634,0.204833,0.502279,0.087508,0.35256,C
KITC_21,81,Start,35255226,9,2976125590,0.026919,0.171577,0.282472,0.444281,0.074942,0.434815,C
KITC_22,81,END,23174200,9,1776163174,0.096778,0.15689,0.289385,0.3772,0.080314,0.424424,C
KITC_23,818,Start,53842370,8,4164282116,0.058249,0.134172,0.2846,0.405441,0.11792,0.399056,C
KITC_24,818,END,46524104,7.3,3635650944,0.03745,0.136489,0.29388,0.412577,0.119888,0.410611,C